x,y,timestamp
-1.4516,-7.1971,1757388703.227358
-1.4727,-7.0959,1757388703.2759454
-1.4945,-6.9948,1757388703.3272777
-1.5166,-6.8938,1757388703.3766046
-1.539,-6.7929,1757388703.4269047
-1.5615,-6.692,1757388703.4773211
-1.5841,-6.5911,1757388703.5258763
-1.6063,-6.4901,1757388703.5782542
-1.6279,-6.389,1757388703.631122
-1.6487,-6.2877,1757388703.6836507
-1.6752,-6.1539,1757388703.7393048
-1.6946,-6.0523,1757388703.7910812
-1.7134,-5.9506,1757388703.8404644
-1.7316,-5.8489,1757388703.891015
-1.749,-5.747,1757388703.9396913
-1.7657,-5.6449,1757388703.9899492
-1.7817,-5.5428,1757388704.0441055
-1.7969,-5.4405,1757388704.091823
-1.8115,-5.3382,1757388704.1409442
-1.8258,-5.2358,1757388704.191546
-1.8398,-5.1333,1757388704.239754
-1.8534,-5.0309,1757388704.2896547
-1.8663,-4.9283,1757388704.340735
-1.8786,-4.8256,1757388704.3912532
-1.8902,-4.7229,1757388704.4392657
-1.901,-4.6201,1757388704.4910593
-1.9107,-4.5172,1757388704.539739
-1.9194,-4.4142,1757388704.5890646
-1.9271,-4.3111,1757388704.6398032
-1.9337,-4.2079,1757388704.69016
-1.939,-4.1047,1757388704.7395794
-1.9432,-4.0014,1757388704.788956
-1.9466,-3.8981,1757388704.840165
-1.9498,-3.7947,1757388704.891075
-1.9529,-3.6914,1757388704.9413056
-1.956,-3.588,1757388704.9908345
-1.9592,-3.4847,1757388705.0406075
-1.9625,-3.3814,1757388705.0899427
-1.9663,-3.278,1757388705.1409113
-1.9705,-3.1747,1757388705.1901
-1.9846,-2.898,1757388705.3254378
-1.991,-2.7948,1757388705.3760974
-1.9977,-2.6916,1757388705.4264677
-2.0047,-2.5885,1757388705.4752436
-2.0121,-2.4854,1757388705.5275927
-2.0225,-2.3493,1757388705.5901937
-2.0341,-2.2112,1757388705.657919
-2.0432,-2.1082,1757388705.7108042
-2.0561,-1.9703,1757388705.775302
-2.0661,-1.8674,1757388705.8277898
-2.0767,-1.7645,1757388705.8778126
-2.0875,-1.6617,1757388705.9253752
-2.0986,-1.5589,1757388705.9769142
-2.11,-1.4562,1757388706.0349095
-2.1257,-1.3206,1757388706.0890746
-2.1367,-1.2181,1757388706.1401381
-2.1441,-1.1154,1757388706.1895857
-2.148,-1.0125,1757388706.2411442
-2.1505,-0.9093,1757388706.2911544
-2.1546,-0.8062,1757388706.340868
-2.1602,-0.703,1757388706.3957953
-2.1677,-0.5648,1757388706.458208
-2.1727,-0.4617,1757388706.5094843
-2.1792,-0.3586,1757388706.5593581
-2.1871,-0.2556,1757388706.608601
-2.1955,-0.1527,1757388706.6581209
-2.2012,-0.0497,1757388706.7084074
-2.2055,0.0534,1757388706.7598958
-2.2112,0.1565,1757388706.80895
-2.2167,0.2595,1757388706.858763
-2.2194,0.3626,1757388706.9080179
-2.221,0.4659,1757388706.959037
-2.2232,0.5691,1757388707.0109007
-2.2233,0.6723,1757388707.069807
-2.2205,0.8107,1757388707.1252308
-2.2176,0.914,1757388707.175273
-2.2159,1.0171,1757388707.2257023
-2.2126,1.1203,1757388707.2767708
-2.2085,1.2235,1757388707.3252544
-2.2067,1.3266,1757388707.375211
-2.2076,1.4298,1757388707.4254572
-2.2107,1.533,1757388707.4766538
-2.2153,1.6692,1757388707.5407863
-2.2164,1.7724,1757388707.5908654
-2.2152,1.8756,1757388707.6410182
-2.2129,2.0138,1757388707.7110178
-2.2137,2.117,1757388707.762378
-2.2166,2.2203,1757388707.81258
-2.2213,2.3235,1757388707.8637166
-2.2304,2.4616,1757388707.9253957
-2.2419,2.5976,1757388707.9904072
-2.2545,2.7356,1757388708.0586073
-2.264,2.8385,1757388708.109044
-2.2735,2.9415,1757388708.1604948
-2.2827,3.0445,1757388708.2094655
-2.2914,3.1475,1757388708.2583337
-2.2994,3.2506,1757388708.3101118
-2.3066,3.3537,1757388708.3589318
-2.3128,3.4569,1757388708.4113
-2.3176,3.5601,1757388708.4632146
-2.321,3.6634,1757388708.5139322
-2.3229,3.7667,1757388708.5697608
-2.3231,3.87,1757388708.6144276
-2.3216,3.9734,1757388708.6637144
-2.3184,4.0766,1757388708.714527
-2.3134,4.1798,1757388708.7647452
-2.3058,4.2822,1757388708.8167813
-2.288,4.4184,1757388708.8777914
-2.2693,4.5193,1757388708.9259868
-2.246,4.6193,1757388708.9764307
-2.22,4.7191,1757388709.0262978
-2.1853,4.8511,1757388709.0910182
-2.1587,4.951,1757388709.1399424
-2.1228,5.0848,1757388709.2097926
-2.0957,5.1846,1757388709.2615235
-2.0589,5.3181,1757388709.3284972
-2.0193,5.4479,1757388709.3904998
-1.9718,5.577,1757388709.45938
-1.9198,5.7052,1757388709.5258856
-1.8674,5.8312,1757388709.5911827
-1.8136,5.9589,1757388709.6617925
-1.7595,6.0864,1757388709.7275136
-1.7059,6.2119,1757388709.7905486
-1.6649,6.3068,1757388709.8414326
-1.6231,6.4013,1757388709.8910997
-1.5798,6.4951,1757388709.9402401
-1.5345,6.5879,1757388709.99174
-1.4874,6.6798,1757388710.0419078
-1.4208,6.801,1757388710.1117127
-1.3684,6.8898,1757388710.164076
-1.2945,7.0067,1757388710.2256315
-1.2177,7.1191,1757388710.292615
-1.1357,7.2304,1757388710.3593836
-1.0497,7.3387,1757388710.4264886
-0.9613,7.4422,1757388710.4907377
-0.8669,7.5412,1757388710.5604353
-0.7651,7.6324,1757388710.6290174
-0.6848,7.6956,1757388710.6890514
-0.5727,7.7762,1757388710.7430356
-0.461,7.8544,1757388710.8099704
-0.3469,7.933,1757388710.8780363
-0.2616,7.9914,1757388710.9273772
-0.1472,8.0696,1757388710.9908593
-0.0345,8.1465,1757388711.0630195
0.0802,8.2242,1757388711.128414
0.1951,8.3016,1757388711.194761
0.3086,8.3775,1757388711.2601867
0.4239,8.4543,1757388711.3294456
0.51,8.5115,1757388711.3834238
0.6261,8.5865,1757388711.4439607
0.7433,8.6553,1757388711.5091233
0.8644,8.7225,1757388711.5786057
0.9548,8.7725,1757388711.6363752
1.0762,8.8394,1757388711.691985
1.1958,8.9051,1757388711.7599034
1.3174,8.9713,1757388711.8278422
1.4086,9.0191,1757388711.8833456
1.5013,9.0646,1757388711.934504
1.5941,9.1099,1757388711.9839454
1.6871,9.1552,1757388712.0337157
1.7801,9.2004,1757388712.0826497
1.8732,9.2454,1757388712.1330125
1.9663,9.2902,1757388712.185084
2.0914,9.3499,1757388712.2426982
2.2149,9.4079,1757388712.3091326
2.3411,9.4647,1757388712.3767133
2.4688,9.5174,1757388712.4419286
2.5965,9.5643,1757388712.511162
2.7276,9.6049,1757388712.578096
2.8264,9.6285,1757388712.6364558
2.9607,9.6497,1757388712.6938028
