positions_X,positions_y
1.8657,-1.3605
1.9168,-1.4908
1.9296,-1.7905
1.8712,-1.9459
1.7713,-2.0788
1.6381,-2.1784
1.4824,-2.2365
1.3166,-2.2487
1.1774,-2.2257
1.0935,-2.2075
1.8134,-1.247
1.8132,-1.2469
1.8131,-1.2468
1.813,-1.2468
1.813,-1.2468
1.8129,-1.2467
1.8129,-1.2467
1.8129,-1.2467
1.8129,-1.2467
1.8129,-1.2467
1.8239,-1.2705
1.8829,-1.4434
1.8945,-1.6035
1.8451,-1.8031
1.7011,-2.0066
1.4578,-2.1732
1.1381,-2.2927
1.8286,-1.2789
1.8603,-1.3644
1.9036,-1.4995
1.9444,-1.6319
1.9685,-1.7102
1.9752,-1.7324
1.9751,-1.7321
1.9671,-1.7067
1.9452,-1.6318
1.9188,-1.5091
1.9127,-1.3421
1.9676,-1.1415
2.1072,-0.9491
2.2953,-0.8005
2.4832,-0.7052
2.6265,-0.6406
2.7504,-0.5738
2.8327,-0.5221
1.8127,-1.2465
1.8135,-1.2463
1.8137,-1.2462
1.8139,-1.2462
1.814,-1.2462
1.814,-1.2462
1.8029,-1.2222
1.7713,-1.1512
1.7287,-1.0335
1.7003,-0.869
1.7242,-0.661
1.8317,-0.4499
1.9791,-0.2836
2.1036,-0.1803
2.1603,-0.1382
2.1845,-0.1138
2.1853,-0.1114
2.1849,-0.1121
2.1846,-0.1126
2.1674,-0.1057
2.1035,-0.0805
1.9928,-0.0496
1.6851,-0.0682
1.4558,-0.1648
1.2039,-0.3244
0.8186,-0.6015
0.6684,-0.7096
1.8132,-1.2473
1.8132,-1.247
1.8132,-1.2468
1.8132,-1.2467
1.8132,-1.2467
1.8132,-1.2466
1.8023,-1.2228
1.7734,-1.1522
1.7414,-1.0355
1.7355,-0.8707
1.7952,-0.6702
1.9396,-0.4798
2.1053,-0.3319
2.2335,-0.238
2.2932,-0.1851
2.3246,-0.143
2.3281,-0.1369
2.3052,-0.1241
2.2412,-0.0824
2.1483,-0.0037
2.0406,0.131
1.9302,0.325
1.8375,0.5229
1.7702,0.6678
1.7096,0.7983
1.7075,0.8029
1.7077,0.8025
1.6967,0.8261
1.665,0.8969
1.6159,1.0153
1.5476,1.1794
1.3839,1.5812
1.3028,1.8641
1.2569,2.2077
1.241,2.5982
1.2338,3.0296
1.2579,3.5097
1.2837,3.9868
1.3058,4.3981
1.3309,4.7425
1.3978,5.0663
1.5377,5.4084
1.7611,5.7497
2.0332,6.037
2.2924,6.2462
2.5047,6.4153
2.6697,6.5469
2.7887,6.6419
2.863,6.7012
2.8923,6.7245
2.8919,6.7241
2.8916,6.7238
2.8914,6.7235
2.8913,6.7234
2.9118,6.7399
2.9732,6.7891
3.0743,6.8702
3.1729,6.9492
3.2377,7.0011
3.2374,7.0009
3.2372,7.0007
3.2371,7.0007
3.2371,7.0007
3.2576,7.0171
3.3175,7.0667
3.4084,7.1534
3.5099,7.2883
3.5943,7.4889
3.6485,7.7517
3.6775,8.0216
3.7011,8.2476
3.7185,8.4149
3.73,8.5248
3.7357,8.579
3.7359,8.5819
3.7293,8.5003
3.7511,8.285
3.8292,8.1174
3.9869,7.962
4.1941,7.8632
4.3926,7.8153
4.5336,7.7897
4.6471,7.7574
4.7231,7.7263
4.7442,7.7177
4.7432,7.7182
4.7426,7.7185
4.7422,7.7186
4.7419,7.7188
4.7417,7.7188
4.7417,7.7189
4.7318,7.6946
4.7059,7.6227
4.6723,7.4996
4.6445,7.378
4.6293,7.3113
4.6267,7.2998
4.6268,7.3001
4.6268,7.3003
4.6269,7.3004
4.6269,7.3004
4.6269,7.3005
4.6269,7.3005
4.6269,7.3005
4.6269,7.3005
4.6269,7.3005
4.6209,7.275
4.6006,7.2014
4.5543,7.0888
4.4594,6.9446
4.3091,6.7794
4.1496,6.6298
4.0326,6.5208
3.9575,6.4508
3.9234,6.419
3.9235,6.4192
3.9239,6.4196
3.9433,6.4377
4.0009,6.4917
4.0958,6.5804
4.1885,6.667
4.2399,6.715
4.2496,6.7241
4.2301,6.706
4.1717,6.6562
4.07,6.5886
3.9104,6.5222
3.693,6.4696
3.4767,6.4352
3.3184,6.4104
3.2167,6.3946
3.1702,6.3873
3.1774,6.3885
3.2368,6.3979
3.3471,6.4153
3.5069,6.4405
3.7208,6.4743
3.9275,6.5069
4.0761,6.5303
4.1672,6.546
4.2029,6.5534
4.1876,6.5499
4.1241,6.5402
4.0088,6.5379
3.8431,6.5564
3.6314,6.5994
3.3917,6.6537
3.1788,6.7018
3.0233,6.737
2.9238,6.7595
2.8789,6.7696
2.9019,6.7644
2.9761,6.7477
3.1,6.7198
3.2724,6.6809
3.492,6.6314
3.7575,6.5716
4.0158,6.52
4.214,6.5057
4.3491,6.5211
4.4257,6.5439
4.4523,6.5548
4.4328,6.5468
4.3648,6.5233
4.2452,6.4932
4.0742,6.4617
3.9028,6.4332
3.7882,6.4142
3.7291,6.4043
3.7231,6.4033
3.7235,6.4034
3.7237,6.4035
3.7238,6.4035
3.7239,6.4035
3.7239,6.4035
3.7498,6.4077
3.8256,6.4167
3.9529,6.4227
4.0774,6.4231
4.1455,6.4229
4.1572,6.4228
4.1569,6.4228
4.1567,6.4227
4.1566,6.4227
4.1566,6.4227
4.1565,6.4227
4.1565,6.4227
4.1303,6.4229
4.0539,6.4264
3.9339,6.4466
3.7722,6.5071
3.5778,6.6171
3.3966,6.7395
3.2643,6.8294
3.1794,6.8871
3.1408,6.9134
3.141,6.9133
3.1413,6.9131
3.1415,6.913
3.1416,6.913
3.1417,6.9129
3.1418,6.9129
3.1418,6.9129
3.1634,6.898
3.1807,6.8857
3.1807,6.8858
3.1806,6.8858
3.1806,6.8858
3.1806,6.8858
3.2017,6.8702
3.2612,6.8225
3.3457,6.7359
3.4389,6.5931
3.5245,6.3905
3.5868,6.185
3.6287,6.0348
3.6552,5.9398
3.6664,5.8996
3.6661,5.8999
3.666,5.9001
3.6659,5.9003
3.6658,5.9004
3.6658,5.9005
3.6658,5.9005
3.6657,5.9005
3.6657,5.9005
3.6657,5.9005
3.6657,5.9005
3.6657,5.9005
3.6657,5.9005
3.6657,5.9005
3.6658,5.9005
3.6658,5.9005
3.6587,5.9258
3.6387,6.0018
3.6094,6.1281
3.5768,6.3071
3.5517,6.5029
3.5368,6.7015
3.5309,6.9007
3.5322,7.1001
3.5382,7.2994
3.5453,7.4987
3.5503,7.6978
3.5448,7.8962
3.5249,8.0934
3.4888,8.2878
3.4339,8.4771
3.3594,8.6589
3.2639,8.8294
3.1463,8.9831
3.0062,9.1128
2.8462,9.2141
2.6703,9.2818
2.4827,9.3175
2.2906,9.3215
2.1,9.2942
1.9161,9.2366
1.7439,9.1501
1.5867,9.0366
1.4359,8.9074
1.2881,8.7738
1.1403,8.64
0.9909,8.5081
0.8395,8.3783
0.6863,8.2508
0.5318,8.1248
0.3765,7.9997
0.2212,7.8747
0.0668,7.7486
-0.0852,7.6198
-0.2342,7.4874
-0.3791,7.3506
-0.5197,7.2094
-0.6551,7.0633
-0.7848,6.9121
-0.9082,6.7559
-1.0251,6.5947
-1.135,6.4286
-1.2378,6.2581
-1.3341,6.0837
-1.4237,5.9058
-1.5063,5.7246
-1.5818,5.5402
-1.6503,5.3532
-1.7115,5.1637
-1.7661,4.972
-1.8145,4.7787
-1.8571,4.584
-1.8939,4.3882
-1.9254,4.1914
-1.952,3.9938
-1.974,3.7957
-1.9919,3.5972
-2.0063,3.3983
-2.0177,3.1993
-2.0263,3.0001
-2.0328,2.8008
-2.0374,2.6015
-2.0399,2.4022
-2.0404,2.2028
-2.0385,2.0034
-2.0337,1.8041
-2.0259,1.6049
-2.0151,1.4059
-2.0017,1.2069
-1.9859,1.0082
-1.968,0.8096
-1.9482,0.6113
-1.9268,0.413
-1.9041,0.215
-1.8798,0.0171
-1.8543,-0.1807
-1.8277,-0.3783
-1.7999,-0.5757
-1.7712,-0.773
-1.7186,-1.124
-1.6888,-1.3211
-1.6592,-1.5183
-1.631,-1.7156
-1.6051,-1.9133
-1.5827,-2.1114
-1.5641,-2.3098
-1.5495,-2.5087
-1.5377,-2.7077
-1.5282,-2.9068
-1.5203,-3.106
-1.5139,-3.3053
-1.508,-3.5046
-1.5021,-3.7039
-1.4967,-3.9032
-1.4922,-4.1025
-1.4886,-4.3019
-1.4853,-4.5013
-1.4818,-4.7006
-1.4775,-4.9
-1.472,-5.0993
-1.4649,-5.2985
-1.4555,-5.4976
-1.4431,-5.6966
-1.4271,-5.8953
-1.4067,-6.0935
-1.3814,-6.2913
-1.3508,-6.4882
-1.3149,-6.6842
-1.2735,-6.8792
-1.2265,-7.0728
-1.1737,-7.265
-1.115,-7.4554
-1.049,-7.6432
-0.9737,-7.8272
-0.8872,-8.0059
-0.7886,-8.1781
-0.6776,-8.3424
-0.5543,-8.4974
-0.419,-8.6421
-0.2724,-8.7753
-0.1153,-8.8956
0.0516,-9.0015
0.2273,-9.0917
0.4105,-9.1634
0.5997,-9.2124
0.7917,-9.2326
0.9824,-9.2204
1.163,-9.1726
1.3317,-9.0893
1.4899,-8.9756
1.6488,-8.8592
1.8176,-8.7706
2.0001,-8.7125
3.9404,6.4195
3.89,6.3805
3.7919,6.3255
3.6441,6.2831
3.4756,6.2822
3.2847,6.3094
3.1023,6.362
2.9373,6.4488
2.7901,6.5678
2.664,6.712
3.9463,6.4247
3.9051,6.3914
3.82,6.33
3.6845,6.2487
3.511,6.1701
3.3242,6.1123
3.1305,6.0776
2.9334,6.0595
2.7367,6.0604
2.5446,6.0871
2.3615,6.144
2.1939,6.232
2.0475,6.3506
3.9282,6.4094
3.8624,6.3626
3.7467,6.2947
3.5813,6.2206
3.3955,6.1645
3.2019,6.1328
3.0047,6.1193
2.8088,6.1261
2.6455,6.1499
2.5389,6.1665
2.4877,6.1745
2.4858,6.1749
2.4862,6.1749
2.4864,6.1749
2.4607,6.179
2.386,6.194
2.2705,6.2319
2.1295,6.3183
3.9413,6.4203
3.8911,6.3803
3.7955,6.315
3.653,6.2297
3.4664,6.1217
3.254,5.9987
3.0652,5.8892
2.9274,5.8092
2.8392,5.7581
2.7994,5.735
2.7996,5.7352
2.7999,5.7354
2.7774,5.7223
2.7096,5.6829
2.5976,5.6179
2.4428,5.5281
2.2511,5.4099
2.0419,5.2416
1.8445,5.0039
1.6874,4.6933
1.5919,4.3203
1.5716,3.9007
0.7995,3.7638
0.8018,3.7049
0.8088,3.5948
0.8202,3.4348
0.8346,3.2262
0.8523,2.9703
0.873,2.6682
0.8967,2.3213
0.9314,1.9332
1.0188,1.5149
1.1816,1.0823
1.4266,0.6508
1.7564,0.233
2.1601,-0.1694
2.593,-0.5959
3.0518,-1.0485
3.5357,-1.5264
4.0443,-2.0289
4.5669,-2.5626
3.9958,-3.373
4.0306,-3.4474
4.0644,-3.571
4.0653,-3.7455
3.9996,-3.9626
3.857,-4.2018
3.9876,-3.3582
3.9938,-3.3709
3.9936,-3.3711
3.9935,-3.3712
3.9934,-3.3713
3.9933,-3.3714
4.0063,-3.3941
4.0413,-3.4621
4.0909,-3.5796
4.1526,-3.7457
4.2312,-3.9569
4.3261,-4.2123
4.4293,-4.5109
4.498,-4.8598
4.5031,-5.2572
4.4428,-5.6939
4.3623,-6.1675
4.2277,-6.6653
4.0189,-7.1711
3.7305,-7.6686
3.3632,-8.145
4.3926,-8.1393
4.3229,-8.1449
4.2019,-8.1383
4.0325,-8.1059
3.8174,-8.0435
3.6204,-7.9749
3.446,-7.8842
3.2566,-7.7288
3.0563,-7.5144
2.8677,-7.2988
2.719,-7.1289
2.6093,-7.0035
2.5374,-6.9214
2.5025,-6.8815
2.501,-6.8797
2.5013,-6.88
2.5014,-6.8802
2.5016,-6.8803
2.5188,-6.9002
2.5664,-6.9599
2.6299,-7.063
2.6817,-7.2196
2.6174,-7.5948
2.4873,-7.773
3.1336,-7.099
3.1332,-7.0998
3.133,-7.1004
3.1328,-7.1007
3.1328,-7.1008
3.1327,-7.101
3.1327,-7.101
3.1327,-7.1011
3.1326,-7.1011
3.1326,-7.1011
3.1326,-7.1011
3.1326,-7.1011
3.1326,-7.1011
3.1326,-7.1011
3.1326,-7.1011
3.1327,-7.1011
3.1327,-7.1011
3.1145,-7.0824
3.0128,-6.9439
2.9601,-6.8072
2.9438,-6.644
2.9657,-6.4624
2.9848,-6.2668
2.9799,-6.0715
2.9462,-5.8806
2.8833,-5.698
2.7922,-5.5278
2.6752,-5.3746
2.5352,-5.242
2.3757,-5.1337
2.201,-5.0523
2.0154,-5.0
1.8239,-4.9781
1.6314,-4.9873
1.4428,-5.0273
1.2631,-5.0969
1.0969,-5.1946
0.9485,-5.3176
0.8218,-5.4628
0.7201,-5.6265
0.6459,-5.8044
0.6012,-5.9919
0.5872,-6.1842
0.6043,-6.3762
0.652,-6.5632
0.7268,-6.743
0.8267,-6.9052
0.9552,-7.0481
1.0995,-7.1863
1.2305,-7.3325
1.3369,-7.4914
1.4101,-7.6651
